Date,Price,Open,High,Low,Vol.,Change %
2025-04-30,527.48,525.61,527.83,521.92,,0.46%
2025-04-29,525.09,523.45,525.47,522.92,,0.36%
2025-04-28,523.19,521.61,524.57,521.61,,0.53%
2025-04-25,520.45,519.42,521.97,518.41,,0.35%
2025-04-24,518.61,515.54,518.96,512.79,,0.36%
2025-04-23,516.77,509.83,519.56,509.83,,1.78%
2025-04-22,507.71,504.97,507.71,502.29,,0.25%
2025-04-17,506.42,506.49,507.13,503.5,,-0.13%
2025-04-16,507.09,506.32,507.16,501.16,,-0.19%
2025-04-15,508.06,500.9,508.46,500.9,,1.63%
2025-04-14,499.89,491.12,501.76,491.12,,2.69%
2025-04-11,486.8,488.42,491.08,479.55,,-0.10%
2025-04-10,487.28,472.5,504.11,472.5,,3.70%
2025-04-09,469.89,480.7,480.7,464.31,,-3.50%
2025-04-08,486.91,477.21,492.11,477.04,,2.72%
2025-04-07,474.01,493.29,495.09,464.26,,-4.50%
2025-04-04,496.33,519.85,519.85,492.23,,-5.12%
2025-04-03,523.12,532.77,532.77,521.64,,-2.57%
2025-04-02,536.92,538.5,538.5,533.1,,-0.50%
2025-04-01,539.64,536.18,540.83,536.04,,1.07%
