timestamp,open_EUR_USD,high_EUR_USD,low_EUR_USD,close_EUR_USD,open_USD_JPY,high_USD_JPY,low_USD_JPY,close_USD_JPY,open_GBP_USD,high_GBP_USD,low_GBP_USD,close_GBP_USD,open_AUD_USD,high_AUD_USD,low_AUD_USD,close_AUD_USD,open_USD_CAD,high_USD_CAD,low_USD_CAD,close_USD_CAD
2025-03-03,1.0382,1.0504,1.0381,1.0486,150.49,151.34,149.1,149.5,1.2587,1.2725,1.2577,1.2699,0.6207,0.6256,0.6198,0.6224,1.4467,1.4543,1.4369,1.4478
2025-03-04,1.0488,1.0628,1.0471,1.0624,149.51,149.89,148.08,149.8,1.2698,1.2801,1.2678,1.2794,0.6223,0.6274,0.6187,0.6271,1.4484,1.4543,1.4371,1.4388
2025-03-05,1.0627,1.0797,1.0602,1.079,149.81,150.2,148.39,148.88,1.2795,1.2902,1.2767,1.2893,0.6272,0.6344,0.6233,0.6334,1.4397,1.4451,1.433,1.4337
2025-03-06,1.0791,1.0854,1.0765,1.0783,148.89,149.35,147.31,147.95,1.2895,1.2925,1.2865,1.2882,0.6335,0.6365,0.6322,0.6331,1.4341,1.4377,1.4242,1.4295
2025-03-07,1.0784,1.089,1.0781,1.0832,147.99,148.22,146.95,148.03,1.2883,1.2946,1.2875,1.292,0.6333,0.6339,0.6282,0.6305,1.4297,1.4428,1.4279,1.4377
2025-03-10,1.0835,1.0875,1.0805,1.0832,147.89,147.99,146.63,147.26,1.2907,1.2948,1.286,1.2874,0.6308,0.6333,0.6264,0.6278,1.4379,1.4473,1.4353,1.4435
2025-03-11,1.0834,1.0947,1.0829,1.0918,147.27,148.14,146.54,147.77,1.2879,1.2967,1.2871,1.2946,0.6279,0.6313,0.6259,0.6298,1.4439,1.4522,1.4379,1.4432
2025-03-12,1.092,1.0932,1.0875,1.0886,147.79,149.2,147.72,148.25,1.2951,1.2988,1.2913,1.296,0.6298,0.6324,0.6276,0.6318,1.4436,1.4486,1.4353,1.4368
2025-03-13,1.0888,1.0898,1.0822,1.0852,148.26,148.39,147.4,147.81,1.2963,1.2975,1.2919,1.2946,0.632,0.6335,0.6269,0.6284,1.4371,1.4453,1.4358,1.4439
2025-03-14,1.0852,1.0913,1.083,1.0879,147.82,149.04,147.76,148.62,1.295,1.2961,1.291,1.2932,0.6285,0.6332,0.6277,0.6323,1.4438,1.4449,1.4355,1.4369
2025-03-17,1.0877,1.093,1.0868,1.0921,148.32,149.31,148.39,149.21,1.2933,1.3001,1.2923,1.2991,0.6325,0.6392,0.6314,0.6382,1.4383,1.4384,1.4274,1.4288
2025-03-18,1.0923,1.0956,1.0892,1.0943,149.23,149.95,149.08,149.26,1.2992,1.3011,1.295,1.3,0.6385,0.6392,0.6344,0.6361,1.429,1.4322,1.4269,1.4299
2025-03-19,1.0945,1.0947,1.0861,1.0901,149.27,150.16,148.61,148.68,1.3001,1.3013,1.2954,1.3,0.6362,0.6368,0.6321,0.6357,1.4301,1.4351,1.4295,1.4324
2025-03-20,1.0903,1.0918,1.0815,1.0851,148.73,148.99,148.18,148.78,1.2995,1.3017,1.2935,1.2963,0.6358,0.6365,0.6271,0.63,1.4326,1.4402,1.4312,1.4323
2025-03-21,1.0852,1.0862,1.0797,1.0814,148.76,149.68,148.58,149.31,1.2967,1.2974,1.2886,1.2918,0.6303,0.6308,0.6258,0.6269,1.4326,1.4375,1.4313,1.4349
2025-03-24,1.0808,1.0859,1.0781,1.08,149.37,150.78,149.36,150.69,1.2908,1.2976,1.2886,1.2919,0.6274,0.6306,0.6263,0.6285,1.435,1.4358,1.4289,1.4318
2025-03-25,1.0802,1.0831,1.0776,1.0791,150.7,150.95,149.55,149.9,1.2924,1.2968,1.2901,1.2943,0.6285,0.6326,0.6278,0.6301,1.432,1.4333,1.4271,1.4277
2025-03-26,1.0791,1.0803,1.0744,1.0752,149.91,150.78,149.83,150.58,1.2944,1.2951,1.2873,1.2885,0.6304,0.6332,0.6278,0.6297,1.428,1.43,1.4234,1.4264
2025-03-27,1.0753,1.0822,1.0732,1.0801,150.61,151.18,150.06,151.05,1.2887,1.2994,1.287,1.2945,0.6299,0.632,0.6279,0.6303,1.4267,1.433,1.4259,1.4304
2025-03-28,1.0802,1.0845,1.0764,1.0827,151.05,151.22,149.68,149.81,1.2949,1.297,1.2921,1.2938,0.6305,0.6314,0.628,0.6287,1.4306,1.4335,1.4276,1.4317
2025-03-31,1.0822,1.085,1.0784,1.0817,149.8,150.28,148.7,149.95,1.2927,1.2974,1.2885,1.2918,0.6291,0.6302,0.6219,0.6246,1.4311,1.4397,1.4299,1.4387
