Date,Price,Open,High,Low,Vol.,Change %
2025-04-30,518.15,528.58,528.58,516.88,,-1.97%
2025-04-29,528.58,535.35,535.69,527.88,,-1.26%
2025-04-28,535.35,537.21,538.93,533.26,,-0.35%
2025-04-25,537.21,536.49,539.17,532.65,,0.13%
2025-04-24,536.4912,532.8139,537.3012,532.5068,,0.69%
2025-04-23,532.8139,538.1811,542.5448,529.3927,,-1.00%
2025-04-22,538.18,531.97,540.85,531.97,,1.17%
2025-04-21,531.9703,538.5269,538.5269,531.0839,,-1.22%
2025-04-17,538.5269,531.0161,539.6434,531.0161,,1.41%
2025-04-16,531.0161,524.0911,532.1491,520.7174,,1.32%
2025-04-15,524.0911,525.145,528.0287,522.2681,,-0.20%
2025-04-14,525.145,525.1592,529.877,522.9434,,0.00%
2025-04-11,525.1592,517.0008,526.1075,514.8496,,1.57%
2025-04-10,517.0383,521.4975,528.1808,512.298,,-0.87%
2025-04-09,521.57,509.07,523.46,492.56,,2.45%
2025-04-08,509.12,514.65,521.63,507.16,,-1.06%
2025-04-07,514.57,520.23,532.87,509.56,,-1.56%
2025-04-04,522.7,549.87,550.16,516.85,,-4.94%
2025-04-03,549.87,571.52,571.52,547.68,,-3.79%
2025-04-02,571.52,568.42,572.17,565.8,,0.55%
2025-04-01,568.42,568.08,570.81,566.68,,0.06%
