timestamp,Close,Open,High,Low
2025-04-30,24.7,24.35,28.17,24.23
2025-04-29,24.17,24.76,25.99,23.76
2025-04-28,25.15,25.75,26.93,24.7
2025-04-25,24.84,26.22,27.2,24.84
2025-04-24,26.47,28.69,29.66,26.36
2025-04-23,28.45,28.75,30.29,27.11
2025-04-22,30.57,32.61,32.68,30.08
2025-04-21,33.82,32.75,35.75,31.79
2025-04-17,29.65,30.79,32.55,29.57
2025-04-16,32.64,33.24,34.96,29.48
2025-04-15,30.12,30.01,31.45,28.29
2025-04-14,30.89,34.76,35.17,29.75
2025-04-11,37.56,40.8,46.12,36.85
2025-04-10,40.72,34.44,54.87,34.44
2025-04-09,33.62,50.98,57.96,31.9
2025-04-08,52.33,44.04,57.52,36.48
2025-04-07,46.98,60.13,60.13,38.58
2025-04-04,45.31,30.12,45.61,29.99
2025-04-03,30.02,26.38,30.02,24.93
2025-04-02,21.51,22.3,23.66,20.68
2025-04-01,21.77,22.06,23.52,21.58
