"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2025","486.91","477.21","492.11","477.04","","2.72%"
"04/07/2025","474.01","493.29","495.09","464.26","","-4.50%"
"04/04/2025","496.33","519.85","519.85","492.23","","-5.12%"
"04/03/2025","523.12","532.77","532.77","521.64","","-2.57%"
"04/02/2025","536.92","538.50","538.50","533.10","","-0.50%"
"04/01/2025","539.64","536.18","540.83","536.04","","1.07%"
"03/31/2025","533.92","540.23","540.23","531.85","","-1.51%"
"03/28/2025","542.10","545.41","546.47","540.44","","-0.77%"
"03/27/2025","546.31","546.50","547.14","542.71","","-0.44%"
"03/26/2025","548.73","552.76","553.59","548.41","","-0.70%"
"03/25/2025","552.59","549.83","555.06","549.83","237.23M","0.67%"
"03/24/2025","548.93","551.13","553.01","547.66","","-0.13%"
"03/21/2025","549.67","551.35","551.46","547.39","430.35M","-0.60%"
"03/20/2025","552.98","555.45","556.47","549.87","","-0.43%"
"03/19/2025","555.37","554.30","556.13","552.38","","0.19%"
"03/18/2025","554.30","551.69","555.82","551.69","","0.61%"
"03/17/2025","550.94","547.27","551.41","546.92","","0.79%"
"03/14/2025","546.60","541.13","547.23","539.88","","1.14%"
"03/13/2025","540.44","541.39","544.58","539.30","","-0.15%"
"03/12/2025","541.25","538.55","544.69","537.92","","0.81%"
"03/11/2025","536.89","545.70","546.80","535.92","","-1.70%"
"03/10/2025","546.20","554.66","555.96","545.54","","-1.29%"
"03/07/2025","553.34","552.84","555.16","550.72","","-0.46%"
"03/06/2025","555.90","557.04","558.43","551.09","269.85M","-0.03%"
"03/05/2025","556.09","551.51","560.76","551.51","285.19M","0.91%"
"03/04/2025","551.07","561.03","561.03","550.60","275.37M","-2.14%"
"03/03/2025","563.13","557.70","565.18","556.25","255.10M","1.07%"
"02/28/2025","557.19","555.25","557.19","552.20","412.11M","0.01%"
"02/27/2025","557.11","558.41","558.41","554.24","250.72M","-0.46%"
"02/26/2025","559.67","555.15","560.56","555.15","239.40M","0.99%"
"02/25/2025","554.20","552.43","557.04","551.98","223.51M","0.15%"
"02/24/2025","553.39","553.95","555.35","550.57","215.16M","-0.08%"
"02/21/2025","553.85","551.66","554.60","551.66","216.41M","0.52%"
"02/20/2025","551.01","551.59","553.99","550.30","241.31M","-0.20%"
"02/19/2025","552.10","557.00","557.61","551.10","228.87M","-0.91%"
"02/18/2025","557.17","556.57","557.96","554.76","191.19M","0.32%"
"02/17/2025","555.42","552.80","555.69","552.67","193.01M","0.54%"
"02/14/2025","552.41","553.60","554.61","551.56","303.27M","-0.24%"
"02/13/2025","553.75","549.07","553.75","548.84","282.93M","1.09%"
"02/12/2025","547.78","547.41","548.59","545.06","238.84M","0.11%"
"02/11/2025","547.18","545.39","547.54","545.10","224.93M","0.23%"
