timestamp,open_EUR_USD,high_EUR_USD,low_EUR_USD,close_EUR_USD,open_USD_JPY,high_USD_JPY,low_USD_JPY,close_USD_JPY,open_GBP_USD,high_GBP_USD,low_GBP_USD,close_GBP_USD,open_AUD_USD,high_AUD_USD,low_AUD_USD,close_AUD_USD,open_USD_CAD,high_USD_CAD,low_USD_CAD,close_USD_CAD
2022-01-03,1.13707,1.13790,1.12780,1.12965,115.10700,115.36700,114.91000,115.31900,1.35290,1.35353,1.34290,1.34790,0.72588,0.72770,0.71810,0.71900,1.26377,1.27790,1.26270,1.27420
2022-01-04,1.12955,1.13226,1.12710,1.12860,115.29800,116.35200,115.25600,116.14000,1.34749,1.35573,1.34580,1.35290,0.71859,0.72489,0.71820,0.72390,1.27412,1.27660,1.26640,1.27070
2022-01-05,1.12858,1.13465,1.12750,1.13116,116.12400,116.24300,115.59000,116.11200,1.35261,1.35985,1.35197,1.35541,0.72323,0.72725,0.72120,0.72217,1.27073,1.27663,1.26880,1.27553
2022-01-06,1.13130,1.13320,1.12830,1.12925,116.09100,116.19000,115.60000,115.83000,1.35517,1.35590,1.34870,1.35290,0.72208,0.72228,0.71420,0.71580,1.27540,1.28138,1.27040,1.27255
2022-01-07,1.12946,1.13649,1.12880,1.13593,115.81800,116.04900,115.47500,115.53000,1.35284,1.35974,1.35240,1.35860,0.71593,0.71876,0.71260,0.71779,1.27247,1.27310,1.26290,1.26409
2022-01-10,1.13524,1.13603,1.12830,1.13250,115.59200,115.85100,115.01000,115.20000,1.35819,1.36036,1.35300,1.35740,0.71720,0.72025,0.71460,0.71639,1.26500,1.26977,1.26070,1.26790
2022-01-11,1.13231,1.13754,1.13110,1.13660,115.14600,115.68100,115.09000,115.29000,1.35726,1.36363,1.35590,1.36357,0.71641,0.72134,0.71520,0.72087,1.26760,1.26820,1.25630,1.25717
2022-01-12,1.13661,1.14528,1.13530,1.14408,115.29100,115.48500,114.35000,114.63100,1.36358,1.37144,1.36190,1.37000,0.72091,0.72927,0.71970,0.72840,1.25718,1.25797,1.24910,1.25070
2022-01-13,1.14403,1.14817,1.14330,1.14547,114.62700,114.70400,113.97000,114.17800,1.36971,1.37488,1.36968,1.37050,0.72818,0.73143,0.72700,0.72820,1.25052,1.25211,1.24490,1.25197
2022-01-14,1.14538,1.14830,1.13970,1.14091,114.15300,114.26500,113.45000,114.18900,1.37020,1.37429,1.36510,1.36762,0.72802,0.72937,0.71950,0.72055,1.25184,1.25704,1.24670,1.25552
