Backtest,Train Size,Test Start,R2,MAE,RMSE,Order,Seasonal Order,AIC
1,250,2023-01-01,-0.03655431385504104,6.774218270386919,7.968158985685862,"(0, 1, 1)","(0, 0, 1, 12)",1357.3713557187625
2,270,2023-02-01,0.27185397264308353,5.044638184399673,5.6491788076019525,"(1, 1, 1)","(1, 0, 1, 12)",1476.9456851271061
3,289,2023-03-01,0.03171193756135515,4.781434342176476,5.788832216220426,"(1, 1, 1)","(1, 0, 1, 12)",1591.0398455412978
4,312,2023-04-01,0.2318739736665557,2.0423584668050574,2.6132609400439537,"(1, 1, 1)","(1, 0, 1, 12)",1720.4917280912343
5,331,2023-05-01,-3.4215532830880244,6.177314978635642,8.220777779823752,"(1, 1, 1)","(1, 0, 1, 12)",1831.0846040525178
6,353,2023-06-01,-5.406618432978425,12.678757258201033,13.768809472286286,"(1, 1, 1)","(1, 0, 1, 12)",1951.8524515468628
7,374,2023-07-01,-1.1904909853012482,8.484094775804238,9.034701987374904,"(1, 1, 1)","(1, 0, 1, 12)",2060.773072752062
8,394,2023-08-01,0.5315950821741691,2.840536296148477,3.7114946512073446,"(1, 1, 1)","(1, 0, 1, 12)",2161.8374692929947
9,417,2023-09-01,0.42378010645732633,5.3718258630002165,6.57984510849906,"(1, 1, 1)","(1, 0, 1, 12)",2287.975420838045
10,437,2023-10-01,0.5278038328532255,4.45061853697905,5.237091636289305,"(1, 1, 1)","(1, 0, 1, 12)",2396.426181943106
11,459,2023-11-01,0.06388373063595332,8.934425054197122,9.56812557306068,"(1, 1, 1)","(1, 0, 1, 12)",2507.008690652201
12,480,2023-12-01,-0.44980380746417614,7.4799501763138805,8.989051859620048,"(1, 1, 1)","(1, 0, 1, 12)",2610.753207604107
13,500,2024-01-01,-0.3689950489477565,6.788105384316988,8.474867091808276,"(1, 1, 1)","(1, 0, 1, 12)",2718.0755531958416
14,521,2024-02-01,-8.041775947507768,16.088619588510603,16.674731206611938,"(1, 1, 1)","(1, 0, 1, 12)",2831.144983324083
15,541,2024-03-01,0.5433829846665719,2.6186463297410656,3.1693223291703636,"(1, 1, 1)","(1, 0, 1, 12)",2936.4964836065587
16,561,2024-04-01,-0.5118008621944081,8.312557404048773,9.749194083028852,"(1, 1, 1)","(1, 0, 1, 12)",3031.9816559934516
17,583,2024-05-01,-0.9543151583809419,11.107218073163274,11.558919153551054,"(1, 1, 1)","(1, 0, 1, 12)",3143.00559530082
18,605,2024-06-01,-9.019040188555863,17.343142971757946,19.577125132129023,"(1, 1, 1)","(1, 0, 1, 12)",3246.7766216412815
19,624,2024-07-01,-2.4123236796815837,11.690119808888198,12.874427428090948,"(1, 1, 1)","(1, 0, 1, 12)",3342.9862404815
20,646,2024-08-01,0.8082612109917854,4.771160658603014,6.613237309019478,"(1, 1, 1)","(1, 0, 1, 12)",3461.3689438863216
21,668,2024-09-01,-0.03597885737759099,8.560144810941177,10.099775852774917,"(0, 1, 1)","(1, 0, 1, 12)",3578.676877944061
22,688,2024-10-01,-2.333616618183608,9.323953208947204,10.259885058347342,"(0, 1, 1)","(1, 0, 1, 12)",3676.771241624284
23,711,2024-11-01,-4.9152805208334085,20.545667060849762,22.09669548931877,"(0, 1, 1)","(1, 0, 1, 12)",3800.335833841892
24,731,2024-12-01,0.724564105831374,3.010521083225036,4.0104416016375115,"(0, 1, 1)","(0, 0, 1, 12)",3917.4817055729213
25,752,2025-01-01,0.7075096312562468,4.157636755688486,4.901340548206491,"(0, 1, 1)","(0, 0, 1, 12)",4039.66086226092
26,772,2025-02-01,0.4004277976817556,4.432433089589525,5.482544248307449,"(0, 1, 1)","(0, 0, 1, 12)",4143.670683853905
27,791,2025-03-01,-2.4142365932417595,16.74832812719585,20.448594681265924,"(0, 1, 1)","(1, 0, 1, 12)",4234.2604287155045
