Backtest,Train Size,Test Start,R2,MAE,RMSE,Order,Seasonal Order,AIC
1,243,2023-01-01,0.6398838665696043,3.567643532928693,4.696596480917985,"(1, 1, 1)","(0, 0, 1, 12)",1376.5565014619488
2,263,2023-02-01,0.44223131258555803,3.9512321961150203,4.9442809852603915,"(1, 1, 1)","(1, 0, 1, 12)",1489.3088290483236
3,282,2023-03-01,0.5079298445446923,3.5397869891489644,4.1266932348718885,"(1, 1, 1)","(1, 0, 1, 12)",1592.040762739996
4,305,2023-04-01,0.34563315923767746,1.7491950095442474,2.4119993079827595,"(1, 1, 1)","(1, 0, 1, 12)",1721.648883758075
5,324,2023-05-01,-1.3630266884714906,5.319201044234342,6.009796833917699,"(1, 1, 1)","(0, 0, 1, 12)",1820.2386017968452
6,346,2023-06-01,-2.8670949998868696,10.07760734161402,10.697305073014306,"(1, 1, 1)","(1, 0, 1, 12)",1936.7715070875781
7,367,2023-07-01,-2.3632792580624775,10.1240381361612,11.195011940598755,"(1, 1, 1)","(1, 0, 1, 12)",2053.842521433691
8,387,2023-08-01,0.7732762206187358,2.056073256908079,2.5821808273697124,"(1, 1, 1)","(0, 0, 1, 12)",2154.500857535322
9,410,2023-09-01,0.8194966210503853,2.9400136379676267,3.6826819605042087,"(1, 1, 1)","(1, 0, 1, 12)",2271.8318492201124
10,430,2023-10-01,0.5628755607461966,3.7844570958076686,5.0388506754326885,"(1, 1, 1)","(1, 0, 1, 12)",2373.9785040121355
11,452,2023-11-01,0.9265854853802618,2.078618760599216,2.679494905810805,"(1, 1, 1)","(1, 0, 1, 12)",2487.6070999283556
12,473,2023-12-01,0.8238047492011517,2.2828091253509655,3.1336924198132876,"(1, 1, 1)","(1, 0, 1, 12)",2591.863072053589
13,493,2024-01-01,-1.169285491980741,9.302325048606727,10.66817946977131,"(1, 1, 1)","(1, 0, 1, 12)",2692.881253666023
14,514,2024-02-01,-5.491037483307116,13.609549609614177,14.128271427952527,"(1, 1, 1)","(1, 0, 1, 12)",2812.42474056617
15,534,2024-03-01,-0.6061827791466685,4.938310699400193,5.944123821289485,"(1, 1, 1)","(0, 0, 1, 12)",2917.2920155716047
16,554,2024-04-01,0.7908919367775022,3.0481687671476125,3.625824771084182,"(1, 1, 1)","(1, 0, 1, 12)",3030.0918969399927
17,576,2024-05-01,0.6652590398827931,4.037755664011565,4.783814761585528,"(1, 1, 1)","(1, 0, 1, 12)",3141.132380549164
18,598,2024-06-01,-4.538742432267749,12.689822202655023,14.555979733231254,"(1, 1, 1)","(1, 0, 1, 12)",3246.2259110327914
19,617,2024-07-01,-2.264810879848648,11.377908043911686,12.593076107416373,"(1, 1, 1)","(1, 0, 1, 12)",3340.8924917339327
20,639,2024-08-01,0.2172172201638488,10.725430050471822,13.362254794630623,"(1, 1, 1)","(1, 0, 1, 12)",3473.0760571591572
21,661,2024-09-01,0.8191674020028235,3.584180967824909,4.219632709728442,"(1, 1, 1)","(0, 0, 1, 12)",3608.8775872400147
22,681,2024-10-01,-3.1934731852409106,10.426830471211593,11.507251481249906,"(1, 1, 1)","(0, 0, 1, 12)",3714.757104537891
23,704,2024-11-01,-1.201857466982784,12.227687468646462,13.481377178089936,"(1, 1, 1)","(0, 0, 1, 12)",3842.238808719892
24,724,2024-12-01,0.4037145015749277,4.530869793002553,5.900774965681529,"(1, 1, 1)","(0, 0, 1, 12)",3962.79962224041
25,745,2025-01-01,0.14706734803182253,7.049626550508782,8.36982666006119,"(1, 1, 1)","(0, 0, 1, 12)",4076.2700123133204
26,765,2025-02-01,0.5657188048049344,3.9830865293604587,4.666023404066921,"(1, 1, 1)","(0, 0, 1, 12)",4183.770778280677
27,784,2025-03-01,-1.1391856753519622,12.698127956973929,16.18605087947647,"(1, 1, 1)","(0, 0, 1, 12)",4288.9592583688955
